link,title,email,email_no_sig
https://business-mail.jp/example/11047,メールマガジンの発行を知らせるご挨拶メール,"株式会社●●●●

●●●●様



大変ご無沙汰しております。

一般社団法人日本ビジネスメール協会の山田太郎です。



この度、弊社では過去に資料請求をしていただいた方に対し、

メールマガジンでフォローをさせていただくことになりました。



最新の研修動向、メールの上手な書き方

ビジネスメール実態調査の最新データなど、

プロとしての切り口をお楽しみいただけたらと思います。



配信は、毎週月曜日の11時頃を予定しております。





なお、いきなり送信してしまうと失礼になりますので、

大変お手数ですが、不要な方は以下のURLから解除をお願い致します。



★URLをここに貼り付ける★





それでは、来週の月曜日をお待ちください。



引き続きよろしくお願いいたします。





━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

一般社団法人日本ビジネスメール協会　山田 太郎（YAMADA Taro）

〒101-0052 東京都千代田区神田小川町2-1 KIMURA BUILDING 5階

電話 03-5577-3210 / FAX 03-5577-3238 / メール info@businessmail.or.jp

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

一般社団法人日本ビジネスメール協会　https://businessmail.or.jp/

アイ・コミュニケーション公式サイト　http://www.sc-p.jp/

ビジネスメールの教科書　https://business-mail.jp/

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━","株式会社●●●●

●●●●様



大変ご無沙汰しております。

一般社団法人日本ビジネスメール協会の山田太郎です。



この度、弊社では過去に資料請求をしていただいた方に対し、

メールマガジンでフォローをさせていただくことになりました。



最新の研修動向、メールの上手な書き方

ビジネスメール実態調査の最新データなど、

プロとしての切り口をお楽しみいただけたらと思います。



配信は、毎週月曜日の11時頃を予定しております。





なお、いきなり送信してしまうと失礼になりますので、

大変お手数ですが、不要な方は以下のURLから解除をお願い致します。



★URLをここに貼り付ける★





それでは、来週の月曜日をお待ちください。



引き続きよろしくお願いいたします。





"
https://business-mail.jp/example/11011,セミナーのキャンセル手続き完了を知らせるメールの文例,"株式会社●●●●

●●●●様



お世話になっております。

一般社団法人日本ビジネスメール協会の山田太郎です。



本日、お電話で以下の講座について、ご予約のキャンセルを承りました。



【講座名】●●

【日時】2019年03月16日（土）10:00〜12:00

【受講人数／受講料】1名　●●円（税込）



お振り込みはまだのため、返金等はございません。



また機会がございましたら、お申し込みいただけますと幸いです。



ご不明な点やご質問がございましたら、お気軽にご連絡ください。

それでは、今後ともよろしくお願いいたします。



━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

一般社団法人日本ビジネスメール協会　山田 太郎（YAMADA Taro）

〒101-0052 東京都千代田区神田小川町2-1 KIMURA BUILDING 5階

電話 03-5577-3210 / FAX 03-5577-3238 / メール info@businessmail.or.jp

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

一般社団法人日本ビジネスメール協会　https://businessmail.or.jp/

アイ・コミュニケーション公式サイト　http://www.sc-p.jp/

ビジネスメールの教科書　https://business-mail.jp/

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━","株式会社●●●●

●●●●様



お世話になっております。

一般社団法人日本ビジネスメール協会の山田太郎です。



本日、お電話で以下の講座について、ご予約のキャンセルを承りました。



【講座名】●●

【日時】2019年03月16日（土）10:00〜12:00

【受講人数／受講料】1名　●●円（税込）



お振り込みはまだのため、返金等はございません。



また機会がございましたら、お申し込みいただけますと幸いです。



ご不明な点やご質問がございましたら、お気軽にご連絡ください。

それでは、今後ともよろしくお願いいたします。



"
https://business-mail.jp/example/1254,住居表示の変更をお知らせするメールの文例,"株式会社●●●●

●●●●様



お世話になっております。

一般社団法人日本ビジネスメール協会の山田太郎です。



住居表示変更のお知らせです。



当協会の住居表示が、●●●●年●月●日（●）より、

以下に変更いたします。



-------------------------------

（新）

〒100-●●

東京都●●区●●町1-2-3

●●ビル5階

-------------------------------



●月●日（●）以降に郵便物を投函される際は、ご注意ください。

電話番号やファクス番号、メールアドレスに変更はございません。



よろしくお願いいたします。



━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

一般社団法人日本ビジネスメール協会　山田 太郎（YAMADA Taro）

〒101-0052 東京都千代田区神田小川町2-1 KIMURA BUILDING 5階

電話 03-5577-3210 / FAX 03-5577-3238 / メール info@businessmail.or.jp

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

一般社団法人日本ビジネスメール協会　https://businessmail.or.jp/

アイ・コミュニケーション公式サイト　http://www.sc-p.jp/

ビジネスメールの教科書　https://business-mail.jp/

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━","株式会社●●●●

●●●●様



お世話になっております。

一般社団法人日本ビジネスメール協会の山田太郎です。



住居表示変更のお知らせです。



当協会の住居表示が、●●●●年●月●日（●）より、

以下に変更いたします。



-------------------------------

（新）

〒100-●●

東京都●●区●●町1-2-3

●●ビル5階

-------------------------------



●月●日（●）以降に郵便物を投函される際は、ご注意ください。

電話番号やファクス番号、メールアドレスに変更はございません。



よろしくお願いいたします。



"
https://business-mail.jp/example/1252,商品価格の改定をお知らせするメールの文例,"株式会社●●●●

●●●●様



お世話になっております。

一般社団法人日本ビジネスメール協会の山田太郎です。



商品価格改定についてお知らせいたします。



現在、●●などの諸事情により、原材料の価格が高騰しております。

これまでも弊社はスタッフ一丸となり、

諸経費の削減やコストを下げる努力を行なってまいりましたが、

今後、経営を圧迫しかねない状況に陥っております。



誠に遺憾ではありますが、検討を重ねた結果、

来月から以下3商品の価格を改定させていただくことになりました。

なにとぞご理解のほどお願いいたします。



------------------------------------------

＜対象商品および改定価格（税込）＞



（1）「●●●●」旧価格：●●●●円 → 新価格：●●●●円

（2）「●●●●」旧価格：●●●●円 → 新価格：●●●●円

（3）「●●●●」旧価格：●●●●円 → 新価格：●●●●円

------------------------------------------



価格改定について、ご不明な点がございましたらお問い合わせください。



今後ともよろしくお願いいたします。



━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

一般社団法人日本ビジネスメール協会　山田 太郎（YAMADA Taro）

〒101-0052 東京都千代田区神田小川町2-1 KIMURA BUILDING 5階

電話 03-5577-3210 / FAX 03-5577-3238 / メール info@businessmail.or.jp

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

一般社団法人日本ビジネスメール協会　https://businessmail.or.jp/

アイ・コミュニケーション公式サイト　http://www.sc-p.jp/

ビジネスメールの教科書　https://business-mail.jp/

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━","株式会社●●●●

●●●●様



お世話になっております。

一般社団法人日本ビジネスメール協会の山田太郎です。



商品価格改定についてお知らせいたします。



現在、●●などの諸事情により、原材料の価格が高騰しております。

これまでも弊社はスタッフ一丸となり、

諸経費の削減やコストを下げる努力を行なってまいりましたが、

今後、経営を圧迫しかねない状況に陥っております。



誠に遺憾ではありますが、検討を重ねた結果、

来月から以下3商品の価格を改定させていただくことになりました。

なにとぞご理解のほどお願いいたします。



------------------------------------------

＜対象商品および改定価格（税込）＞



（1）「●●●●」旧価格：●●●●円 → 新価格：●●●●円

（2）「●●●●」旧価格：●●●●円 → 新価格：●●●●円

（3）「●●●●」旧価格：●●●●円 → 新価格：●●●●円

------------------------------------------



価格改定について、ご不明な点がございましたらお問い合わせください。



今後ともよろしくお願いいたします。



"
https://business-mail.jp/example/1251,営業時間の変更をお知らせするメールの文例,"株式会社○○

◇◇◇◇様



いつもお世話になっております。

株式会社△△の○○です。



このたびは、弊社の営業時間変更のご連絡でメールをいたしました。



弊社の営業時間（平日8:00～19:00）につきまして、

以下の店頭窓口の営業時間を次の通り変更いたしますので

ご確認のほどよろしくお願いいたします。



＜変更後の営業時間＞

平日9:00～20:00



＜対象店舗＞	

------------------------------------------

○○店

○○店

○○店

○○店

------------------------------------------



今後ともスタッフ一同さらに丁寧なサービスを心がけて参ります。

引き続きよろしくお願いいたします。



----------------------------------------------------

株式会社△△

◎◎部

○○太郎

住所：〒111-1111　東京都◎◎区◎◎町1-2-3

TEL：03-****-****　／　FAX：03-****-****

URL：http://www.example.co.jp

Mail：○○@example.co.jp

----------------------------------------------------","株式会社○○

◇◇◇◇様



いつもお世話になっております。

株式会社△△の○○です。



このたびは、弊社の営業時間変更のご連絡でメールをいたしました。



弊社の営業時間（平日8:00～19:00）につきまして、

以下の店頭窓口の営業時間を次の通り変更いたしますので

ご確認のほどよろしくお願いいたします。



＜変更後の営業時間＞

平日9:00～20:00



＜対象店舗＞	

------------------------------------------

○○店

○○店

○○店

○○店

------------------------------------------



今後ともスタッフ一同さらに丁寧なサービスを心がけて参ります。

引き続きよろしくお願いいたします。



----------------------------------------------------

株式会社△△

◎◎部

○○太郎

住所：〒111-1111　東京都◎◎区◎◎町1-2-3

TEL：03-****-****　／　FAX：03-****-****

URL：http://www.example.co.jp

Mail：○○@example.co.jp

----------------------------------------------------"
https://business-mail.jp/example/1250,営業時間の短縮をお知らせするメールの文例,"株式会社○○

◇◇◇◇様



いつもお世話になっております。

株式会社△△の○○です。



このたびは弊社の営業時間短縮のご連絡でメールをいたしました。



弊社の営業時間（平日9:00～19:00）につきまして、

以下の店頭窓口の営業時間を１時間短縮し

平日9:00～18:00までといたします。



＜対象店舗＞	

------------------------------------------

○○店

○○店

○○店

○○店

------------------------------------------



お客さまには大変ご迷惑をおかけいたしますが

今後ともスタッフ一同さらに丁寧なサービスを心がけて参ります。

引き続きよろしくお願いいたします。



----------------------------------------------------

株式会社△△

◎◎部

○○太郎

住所：〒111-1111　東京都◎◎区◎◎町1-2-3

TEL：03-****-****　／　FAX：03-****-****

URL：http://www.example.co.jp

Mail：○○@example.co.jp

----------------------------------------------------","株式会社○○

◇◇◇◇様



いつもお世話になっております。

株式会社△△の○○です。



このたびは弊社の営業時間短縮のご連絡でメールをいたしました。



弊社の営業時間（平日9:00～19:00）につきまして、

以下の店頭窓口の営業時間を１時間短縮し

平日9:00～18:00までといたします。



＜対象店舗＞	

------------------------------------------

○○店

○○店

○○店

○○店

------------------------------------------



お客さまには大変ご迷惑をおかけいたしますが

今後ともスタッフ一同さらに丁寧なサービスを心がけて参ります。

引き続きよろしくお願いいたします。



----------------------------------------------------

株式会社△△

◎◎部

○○太郎

住所：〒111-1111　東京都◎◎区◎◎町1-2-3

TEL：03-****-****　／　FAX：03-****-****

URL：http://www.example.co.jp

Mail：○○@example.co.jp

----------------------------------------------------"
https://business-mail.jp/example/1249,営業時間の延長をお知らせするメールの文例,"株式会社○○

◇◇◇◇様



いつもお世話になっております。

株式会社△△の○○です。



このたびは弊社の営業時間延長のご連絡でメールをいたしました。



弊社の営業時間（平日9:00～18:00）につきまして、

以下の店頭窓口の営業時間を１時間延長し

平日9:00～19:00までといたします。



＜対象店舗＞	

------------------------------------------

○○店

○○店

○○店

○○店

------------------------------------------



スタッフ一同さらに丁寧なサービスを心がけてまいりますので

今後とも引き続きよろしくお願いいたします。



----------------------------------------------------

株式会社△△

◎◎部

○○太郎

住所：〒111-1111　東京都◎◎区◎◎町1-2-3

TEL：03-****-****　／　FAX：03-****-****

URL：http://www.example.co.jp

Mail：○○@example.co.jp

----------------------------------------------------","株式会社○○

◇◇◇◇様



いつもお世話になっております。

株式会社△△の○○です。



このたびは弊社の営業時間延長のご連絡でメールをいたしました。



弊社の営業時間（平日9:00～18:00）につきまして、

以下の店頭窓口の営業時間を１時間延長し

平日9:00～19:00までといたします。



＜対象店舗＞	

------------------------------------------

○○店

○○店

○○店

○○店

------------------------------------------



スタッフ一同さらに丁寧なサービスを心がけてまいりますので

今後とも引き続きよろしくお願いいたします。



----------------------------------------------------

株式会社△△

◎◎部

○○太郎

住所：〒111-1111　東京都◎◎区◎◎町1-2-3

TEL：03-****-****　／　FAX：03-****-****

URL：http://www.example.co.jp

Mail：○○@example.co.jp

----------------------------------------------------"
https://business-mail.jp/example/409,不在期間を知らせるメールの文例,"株式会社●●●●

●●●●様



お世話になっております。

一般社団法人日本ビジネスメール協会の山田太郎です。



このたび長期のお休みをいただくことになりましたので、

事前にご連絡をさせていただきました。



私事で恐縮ですが、7月19日から入院することになりました。



私の不在期間中は、弊社の●●●●が担当させていただきますので、

何かありましたら以下までご連絡ください。

ご連絡の際は、私をCCに入れていただけますと幸いです。



-------------------------------------

不在期間：7月18日（木）～7月28日（日）

担当者：●●●●

メール：●●●●@example.jp

電話：03-●●●●-●●●●

-------------------------------------



7月17日（水）までは通常通り出社します。

7月29日（月）から問題なく職務に復帰できると医師から言われておりますので、

ご心配はなさらないでください。



それでは、引き続きよろしくお願いいたします。



━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

一般社団法人日本ビジネスメール協会　山田 太郎（YAMADA Taro）

〒101-0052 東京都千代田区神田小川町2-1 KIMURA BUILDING 5階

電話 03-5577-3210 / FAX 03-5577-3238 / メール info@businessmail.or.jp

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

一般社団法人日本ビジネスメール協会　https://businessmail.or.jp/

アイ・コミュニケーション公式サイト　http://www.sc-p.jp/

ビジネスメールの教科書　https://business-mail.jp/

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━","株式会社●●●●

●●●●様



お世話になっております。

一般社団法人日本ビジネスメール協会の山田太郎です。



このたび長期のお休みをいただくことになりましたので、

事前にご連絡をさせていただきました。



私事で恐縮ですが、7月19日から入院することになりました。



私の不在期間中は、弊社の●●●●が担当させていただきますので、

何かありましたら以下までご連絡ください。

ご連絡の際は、私をCCに入れていただけますと幸いです。



-------------------------------------

不在期間：7月18日（木）～7月28日（日）

担当者：●●●●

メール：●●●●@example.jp

電話：03-●●●●-●●●●

-------------------------------------



7月17日（水）までは通常通り出社します。

7月29日（月）から問題なく職務に復帰できると医師から言われておりますので、

ご心配はなさらないでください。



それでは、引き続きよろしくお願いいたします。



"
https://business-mail.jp/example/696,抽選の結果（当選）をお知らせするメールの文例,"株式会社○○

○○様



お世話になっております。

○○株式会社△△でございます。



この度は、○○年○○月○○日（○）

弊社主催の「○○セミナー」にお申し込みいただき

誠にありがとうございました。



厳正に抽選させていただいた結果、

ご当選されましたのでお知らせいたします。



セミナーの日程は以下のとおりです。



・日時：○○年○○月○○日（○）

　　　　○時～○時(受付○時○分～）

・会場：○○センターA102

　　　　〒000-0000 ○○市○区○町1丁目1番1号

・地図：http://*****　



当日○○様にお会いできるのを楽しみにしております。



なお、万一ご欠席になる場合は、

事前にご一報いただければ幸いです。



今後ともどうぞよろしくお願いいたします。



-----------------------------------------------------

○○株式会社　△△課

担当：△△　

TEL：○○-○○○-○○○○

FAX：○○-○○○-○○○○

E-mail：△△@△△.co.jp

http://△△○○～

-----------------------------------------------------","株式会社○○

○○様



お世話になっております。

○○株式会社△△でございます。



この度は、○○年○○月○○日（○）

弊社主催の「○○セミナー」にお申し込みいただき

誠にありがとうございました。



厳正に抽選させていただいた結果、

ご当選されましたのでお知らせいたします。



セミナーの日程は以下のとおりです。



・日時：○○年○○月○○日（○）

　　　　○時～○時(受付○時○分～）

・会場：○○センターA102

　　　　〒000-0000 ○○市○区○町1丁目1番1号

・地図：http://*****　



当日○○様にお会いできるのを楽しみにしております。



なお、万一ご欠席になる場合は、

事前にご一報いただければ幸いです。



今後ともどうぞよろしくお願いいたします。



-----------------------------------------------------

○○株式会社　△△課

担当：△△　

TEL：○○-○○○-○○○○

FAX：○○-○○○-○○○○

E-mail：△△@△△.co.jp

http://△△○○～

-----------------------------------------------------"
https://business-mail.jp/example/702,抽選の結果（落選）をお知らせするメールの文例,"株式会社○○

○○様



お世話になっております。

○○株式会社△△でございます。



この度は、○○年○○月○○日（○）

弊社主催の「○○セミナー」にお申し込みいただき

誠にありがとうございました。



厳正に抽選させていただいた結果、

誠に残念ですが落選となりました。



興味を持ってお申込みをいただきましたのに、

お断りせざるを得ない状況になり、

本当に申し訳ございません。



また同様のイベントを開催の際には

改めてご案内させていただきます。



今後ともどうぞよろしくお願いいたします。

-----------------------------------------------------

○○株式会社　△△課

担当：△△　

TEL：○○-○○○-○○○○

FAX：○○-○○○-○○○○

E-mail：△△@△△.co.jp

http://△△○○～

-----------------------------------------------------","株式会社○○

○○様



お世話になっております。

○○株式会社△△でございます。



この度は、○○年○○月○○日（○）

弊社主催の「○○セミナー」にお申し込みいただき

誠にありがとうございました。



厳正に抽選させていただいた結果、

誠に残念ですが落選となりました。



興味を持ってお申込みをいただきましたのに、

お断りせざるを得ない状況になり、

本当に申し訳ございません。



また同様のイベントを開催の際には

改めてご案内させていただきます。



今後ともどうぞよろしくお願いいたします。

-----------------------------------------------------

○○株式会社　△△課

担当：△△　

TEL：○○-○○○-○○○○

FAX：○○-○○○-○○○○

E-mail：△△@△△.co.jp

http://△△○○～

-----------------------------------------------------"
